Movie Name,Address,Rating,Year,Date,Closed Captioning,Zip,Park Name
Back to the Future Part II,"Griffin Museum of Science and Industry, 5700, South Lake Shore Drive, Indian Village, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",PG,2019,2019-06-19,Y,0,Museum of Science and Industry
Jane Eyre (2011),"The Spoke & Bird, 205, East 18th Street, Near South Side, Chicago, South Chicago Township, Cook County, Illinois, 60616, United States",PG-13,2019,2019-08-01,Y,0,Chicago Women's Park and Gardens
Wonder Woman,"Griffin Museum of Science and Industry, 5700, South Lake Shore Drive, Indian Village, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",PG-13,2019,2019-08-10,Y,0,Museum of Science and Industry
Black Panther,"West 83rd Street, Chatham, Chicago, Lake Township, Cook County, Illinois, 60620, United States",PG-13,2019,2019-06-22,Y,0,West Chatham Park
Singin' in the Rain,"Ardmore Hollywood (Osterman) Beach, Edgewater Beach, Edgewater, Chicago, Lake View Township, Cook County, Illinois, United States",G,2019,2019-07-15,Y,0,Osterman Beach
Green Book,"Mary Bartelme Park, 115, Greektown, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",PG-13,2019,2019-08-22,Y,0,Bartelme (Mary) Park
Yankee Doodle Dandy,"Chicago, IL",NR,2019,2019-07-05,N,0,Indian Boundary Park and Cultural Center
Not Quite Adults / Tampoco Tan Grandes,"1817, South Wood Street, Lower West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",NR,2019,2019-07-17,Y,0,Harrison Park
Creed (2015),"Mary Bartelme Park, 115, Greektown, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",PG-13,2019,2019-08-08,Y,0,Bartelme (Mary) Park
Creed II,"Damen & 61st Street, South Damen Avenue, South Lynn, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",PG-13,2019,2019-06-14,Y,0,Lindblom Park
Creed II,"Chicago, IL",PG-13,2019,2019-08-18,Y,0,Wallace Playground Park
Ralph Breaks the Internet,"Kinzie Elementary School, 5625, South Mobile Avenue, Garfield Ridge, Chicago, Lake Township, Cook County, Illinois, 60638, United States",PG,2019,2019-06-28,Y,0,Wentworth Park
Meet Me In St. Louis,"Belmont Harbor, 3600, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",NR,2019,2019-08-12,Y,0,Belmont Harbor
Spider-Man: Into the Spider-Verse,"1814, West 50th Street, Back of the Yards, New City, Chicago, Lake Township, Cook County, Illinois, 60632, United States",PG,2019,2019-08-02,Y,0,Cornell Square Park
